data_type,group_id,k,n,N
fresh_produce,FP22,10,600,53736
fresh_produce,FP08,0,600,9600
fresh_produce,FP23,4,600,221130
fresh_produce,FP02,0,600,174636
fresh_produce,FP29,0,600,62100
fresh_produce,FP31,0,600,10140
fresh_produce,FP16,0,600,9480
fresh_produce,FP12,5,600,44375
fresh_produce,FP13,1,600,7600
fresh_produce,FP09,0,600,4641
fresh_produce,FP23,0,600,115000
fresh_produce,FP23,0,600,90720
fresh_produce,FP02,0,600,31752
fresh_produce,FP02,5,600,83790
fresh_produce,FP23,0,600,59850
fresh_produce,FP29,0,600,84865
fresh_produce,FP17,0,600,93282
fresh_produce,FP09,0,600,7140
fresh_produce,FP29,0,600,56000
fresh_produce,FP12,4,600,35938
fresh_produce,FP15,0,600,13760
fresh_produce,FP18,0,600,57600
fresh_produce,FP09,0,600,8904
fresh_produce,FP29,0,600,39900
fresh_produce,FP12,0,600,38312
fresh_produce,FP15,0,600,28000
fresh_produce,FP18,6,600,24660
fresh_produce,FP10,0,600,30240
fresh_produce,FP09,0,600,2002
fresh_produce,FP29,0,600,39500
fresh_produce,FP31,0,600,1495
fresh_produce,FP15,0,600,1760
fresh_produce,FP12,0,600,4250
fresh_produce,FP18,0,600,50400
fresh_produce,FP23,0,600,120020
fresh_produce,FP02,3,600,104958
fresh_produce,FP23,0,600,40320
fresh_produce,FP23,0,600,102875
fresh_produce,FP02,0,600,16002
fresh_produce,FP02,0,600,160027
fresh_produce,FP23,0,600,74300
fresh_produce,FP02,0,600,44982
fresh_produce,FP23,0,600,83160
fresh_produce,FP10,0,600,46656
fresh_produce,FP28,0,600,111240
fresh_produce,FP23,0,600,66870
fresh_produce,FP02,0,600,93618
fresh_produce,FP27,1,600,53136
fresh_produce,FP10,0,600,45696
fresh_produce,FP08,0,600,20183
fresh_produce,FP10,0,600,31360
fresh_produce,FP29,0,600,90710
fresh_produce,FP12,0,600,91875
fresh_produce,FP13,0,600,2242
fresh_produce,FP14,0,600,11536
fresh_produce,FP09,0,600,14161
fresh_produce,FP23,0,600,22680
fresh_produce,FP10,0,600,15120
fresh_produce,FP17,0,600,49812
fresh_produce,FP13,0,600,2622
fresh_produce,FP31,0,600,11278
fresh_produce,FP15,0,600,12912
fresh_produce,FP16,0,600,9232
fresh_produce,FP22,10,600,34164
fresh_produce,FP29,0,600,93300
fresh_produce,FP12,2,600,140000
fresh_produce,FP29,0,600,74900
fresh_produce,FP14,0,600,16656
fresh_produce,FP09,0,600,9681
fresh_produce,FP09,0,600,1043
fresh_produce,FP12,10,600,50000
fresh_produce,FP14,10,600,7200
fresh_produce,FP09,0,600,12341
fresh_produce,FP29,0,600,92143
fresh_produce,FP12,1,600,65112
fresh_produce,FP16,0,600,3982
fresh_produce,FP23,0,600,174060
fresh_produce,FP02,0,600,134946
fresh_produce,FP02,0,600,168000
fresh_produce,FP28,0,600,43200
fresh_produce,FP28,0,600,123120
fresh_produce,FP10,0,600,31808
fresh_produce,FP10,1,600,29568
fresh_produce,FP01,0,600,374250
fresh_produce,FP23,0,600,120000
fresh_produce,FP28,0,600,136080
fresh_produce,FP02,0,600,168000
fresh_produce,FP23,0,600,120000
fresh_produce,FP27,0,600,52992
fresh_produce,FP27,0,600,43139
fresh_produce,FP23,0,600,77805
fresh_produce,FP02,1,600,2296
fresh_produce,FP23,0,600,114305
fresh_produce,FP09,0,600,6839
fresh_produce,FP09,0,600,4823
fresh_produce,FP29,0,600,96300
fresh_produce,FP17,0,600,45091
fresh_produce,FP14,0,600,13582
fresh_produce,FP29,0,600,58300
fresh_produce,FP31,0,600,9490
fresh_produce,FP16,8,600,5600
fresh_produce,FP12,0,600,81250
fresh_produce,FP12,6,600,11719
fresh_produce,FP23,0,600,70615
fresh_produce,FP19,5,600,71735
fresh_produce,FP28,0,600,123120
fresh_produce,FP09,0,600,5334
fresh_produce,FP10,0,600,30464
fresh_produce,FP29,0,600,53300
fresh_produce,FP12,0,600,66875
fresh_produce,FP14,7,600,3172
fresh_produce,FP17,3,600,57792
fresh_produce,FP18,0,600,13680
fresh_produce,FP09,0,600,5033
fresh_produce,FP10,0,600,17280
fresh_produce,FP26,0,600,800
fresh_produce,FP29,0,600,43200
fresh_produce,FP12,0,600,37500
fresh_produce,FP09,0,600,4536
fresh_produce,FP28,2,600,59040
fresh_produce,FP10,50,600,29316
fresh_produce,FP02,0,600,209475
fresh_produce,FP23,1,600,47880
fresh_produce,FP23,0,600,87570
fresh_produce,FP02,0,600,44982
fresh_produce,FP26,0,600,800
fresh_produce,FP10,1,600,35696
fresh_produce,FP29,0,600,68092
fresh_produce,FP31,0,600,11024
fresh_produce,FP12,0,600,95269
fresh_produce,FP14,0,600,14386
fresh_produce,FP09,0,600,11585
fresh_produce,FP01,0,600,164235
fresh_produce,FP29,0,600,77105
fresh_produce,FP12,0,600,175437
fresh_produce,FP17,1,600,37162
fresh_produce,FP13,0,600,2223
fresh_produce,FP16,10,600,11888
fresh_produce,FP29,0,600,108700
fresh_produce,FP16,5,600,8360
fresh_produce,FP12,0,600,1e+05
fresh_produce,FP13,5,600,7600
fresh_produce,FP14,0,600,15840
fresh_produce,FP09,1,600,9688
fresh_produce,FP27,0,600,5760
fresh_produce,FP26,0,600,800
fresh_produce,FP26,0,600,800
fresh_produce,FP22,20,600,18000
